rank,prev_rank,name,league,off,def,spi
521,527,Elche,Spanish Segunda Division,0.77,1.67,25.17
522,523,SpVgg Greuther FÃ¼rth,German 2. Bundesliga,0.86,1.8,25.13
523,524,Sandefjord,Norwegian Tippeligaen,1,2.03,25.03
524,525,IF Elfsborg,Swedish Allsvenskan,0.82,1.75,24.95
525,532,Salernitana,Italy Serie B,0.77,1.68,24.93
526,526,Charleston Battery,United Soccer League,0.69,1.56,24.9
527,492,Peterborough United,English League One,0.91,1.89,24.86
528,530,Burton Albion,English League One,0.84,1.8,24.75
529,522,F.B.C Unione Venezia,Italy Serie B,0.7,1.58,24.67
530,521,Apollon Smyrni,Greek Super League,0.62,1.46,24.6
531,528,Golden Arrows,South African ABSA Premier League,0.67,1.55,24.49
532,529,Cordoba,Spanish Segunda Division,0.93,1.99,23.97
533,531,Colorado Rapids,Major League Soccer,0.82,1.82,23.92
534,510,Milton Keynes Dons,English League Two,0.84,1.86,23.79
535,533,Kalmar FF,Swedish Allsvenskan,0.61,1.5,23.73
536,539,Ascoli,Italy Serie B,0.67,1.6,23.65
537,534,Vejle,Danish SAS-Ligaen,0.76,1.74,23.64
538,535,Indy Eleven,United Soccer League,0.84,1.87,23.62
539,536,IK Sirius,Swedish Allsvenskan,1.02,2.15,23.61
540,537,Portland Timbers 2,United Soccer League,0.92,2,23.54
541,544,AmaZulu,South African ABSA Premier League,0.74,1.73,23.25
542,550,SuperSport United,South African ABSA Premier League,0.54,1.42,23.09
543,542,Rayo Majadahonda,Spanish Segunda Division,0.67,1.65,23
544,543,Hobro IK,Danish SAS-Ligaen,0.71,1.72,22.91
545,555,Wycombe Wanderers,English League One,0.87,1.97,22.84
546,547,Highlands Park FC,South African ABSA Premier League,0.72,1.74,22.6
547,548,Oklahoma City Energy FC,United Soccer League,0.73,1.79,22.26
548,560,Valenciennes,French Ligue 2,0.93,2.11,22.21
549,545,Cosenza,Italy Serie B,0.64,1.65,22.18
550,551,Reus Deportiu,Spanish Segunda Division,0.58,1.56,21.99
551,552,LA Galaxy II,United Soccer League,1.21,2.56,21.96
552,553,Real Monarchs SLC,United Soccer League,0.88,2.06,21.93
553,561,Carlisle United,English League Two,0.86,2.03,21.83
554,546,Blackpool,English League One,0.53,1.48,21.8
555,556,Fresno FC,United Soccer League,0.66,1.72,21.64
556,557,Livorno,Italy Serie B,0.68,1.75,21.6
557,558,Motherwell,Scottish Premiership,0.69,1.77,21.57
558,554,Chateauroux,French Ligue 2,0.55,1.55,21.36
559,567,Oxford United,English League One,0.81,1.99,21.27
560,571,Lincoln City,English League Two,0.75,1.91,21.01
561,570,Mansfield Town,English League Two,0.62,1.72,20.79
562,572,Plymouth Argyle,English League One,0.92,2.21,20.76
563,559,Coventry City,English League One,0.63,1.75,20.43
564,565,San Antonio FC,United Soccer League,0.79,2.02,20.41
565,549,OrlÃ©ans,French Ligue 2,0.79,2.02,20.39
566,563,Bloem Celtic,South African ABSA Premier League,0.55,1.64,20.17
567,538,Gillingham,English League One,0.84,2.13,20.08
568,566,Saint Louis FC,United Soccer League,0.61,1.76,19.98
569,568,Tampa Bay Rowdies,United Soccer League,0.64,1.81,19.84
570,573,Scunthorpe,English League One,0.8,2.08,19.81
571,569,Shrewsbury Town,English League One,0.58,1.71,19.72
572,578,Central Coast Mariners,Australian A-League,0.87,2.21,19.64
573,562,Bristol Rovers,English League One,0.49,1.59,19.31
574,574,IK Start,Norwegian Tippeligaen,0.74,2.04,19.26
575,581,Padova,Italy Serie B,0.66,1.9,19
576,589,Chippa United,South African ABSA Premier League,0.48,1.59,18.87
577,583,Baroka FC,South African ABSA Premier League,0.47,1.61,18.41
578,579,AS Nancy Lorraine,French Ligue 2,0.53,1.73,18.35
579,590,Forest Green Rovers,English League Two,0.61,1.88,18.32
580,577,Dalkurd FF,Swedish Allsvenskan,0.65,1.96,18.19
581,582,Black Leopards,South African ABSA Premier League,0.58,1.87,17.72
582,585,Carpi,Italy Serie B,0.57,1.87,17.56
583,584,Charlotte Independence,United Soccer League,0.76,2.2,17.53
584,580,Sochaux,French Ligue 2,0.52,1.78,17.49
585,564,Bradford City,English League One,0.69,2.1,17.23
586,576,Oldham Athletic,English League Two,0.71,2.15,17.2
587,587,Red Star FC 93,French Ligue 2,0.55,1.86,16.98
588,588,Las Vegas Lights FC,United Soccer League,0.95,2.59,16.87
589,602,Walsall,English League One,0.65,2.1,16.53
590,586,GimnÃ¡stic Tarragona,Spanish Segunda Division,0.48,1.79,16.32
591,591,Rio Grande Valley FC Toros,United Soccer League,0.51,1.86,16.29
592,600,GFC Ajaccio,French Ligue 2,0.54,1.94,16.09
593,575,Free State Stars,South African ABSA Premier League,0.52,1.88,16.07
594,594,Beziers AS,French Ligue 2,0.44,1.76,15.76
595,596,Brommapojkarna,Swedish Allsvenskan,0.67,2.24,15.39
596,593,Northampton Town,English League Two,0.64,2.22,14.99
597,598,Toronto FC II,United Soccer League,0.88,2.66,14.88
598,599,St Mirren,Scottish Premiership,0.59,2.14,14.75
599,597,Accrington Stanley,English League One,0.45,1.88,14.73
600,595,Exeter City,English League Two,0.44,1.89,14.38
601,601,Colorado Springs Switchbacks FC,United Soccer League,0.46,1.94,14.33
602,592,Maritzburg Utd,South African ABSA Premier League,0.27,1.54,14.2
603,605,Penn FC,United Soccer League,0.48,2.01,13.79
604,606,Colchester United,English League Two,0.49,2.13,12.9
605,604,Tranmere Rovers,English League Two,0.57,2.3,12.85
606,607,Rochdale,English League One,0.63,2.44,12.65
607,608,Dundee,Scottish Premiership,0.49,2.21,12.1
608,609,Trelleborgs FF,Swedish Allsvenskan,0.57,2.41,11.9
609,610,Ottawa Fury FC,United Soccer League,0.26,1.74,11.67
610,603,AFC Wimbledon,English League One,0.38,2.05,11.41
611,614,Stevenage,English League Two,0.41,2.18,10.91
612,612,Hamilton Academical,Scottish Premiership,0.47,2.33,10.75
613,611,Cheltenham Town,English League Two,0.49,2.41,10.52
614,613,Seattle Sounders 2,United Soccer League,0.56,2.57,10.43
615,617,Crewe Alexandra,English League Two,0.36,2.16,10.21
616,618,Swindon Town,English League Two,0.34,2.11,10.15
617,616,Atlanta United 2,United Soccer League,0.5,2.53,9.74
618,619,Newport County,English League Two,0.48,2.52,9.5
619,615,Grimsby Town,English League Two,0.24,2.17,7.87
620,621,Tulsa Roughnecks,United Soccer League,0.52,2.86,7.87
621,620,Crawley Town,English League Two,0.28,2.32,7.64
622,622,Yeovil Town,English League Two,0.2,2.15,7.31
623,624,Macclesfield,English League Two,0.22,2.22,7.23
624,626,Cambridge United,English League Two,0.27,2.41,6.97
625,625,Port Vale,English League Two,0.2,2.25,6.71
626,623,Morecambe,English League Two,0.2,2.27,6.55
627,627,Richmond Kickers,United Soccer League,0.32,2.9,5.15
628,628,Notts County,English League Two,0.23,2.79,4.51
